rank,candidate_id,cosine_similarity,intent_score,alignment_score,promotion_velocity,avg_tenure_per_role,total_career_duration,years_of_experience,rationale
1,CAND_0000040,0.40666,0.309245,0.40666,0.6316,1.5833333333333333,1.5833333333333333,1.6,"Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability contributes 66% of the attributable score weight, with behavioural intent accounting for the remaining 34%. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Balanced but moderate overall signal — recommended for secondary evaluation."
2,CAND_0000032,0.394554,0.392656,0.394554,0.3789,2.638888888888889,7.916666666666667,8.1,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability contributes 60% of the attributable score weight, with behavioural intent accounting for the remaining 40%. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
3,CAND_0000003,0.388577,0.267522,0.388577,0.9231,1.0833333333333333,1.0833333333333333,1.1,"Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability contributes 69% of the attributable score weight, with behavioural intent accounting for the remaining 31%. Platform engagement metrics are minimal; ranking relies more heavily on the semantic capability signal. High velocity metric confirms rapid role advancement despite a compact career timeline. Average role tenure is compact — candidate moves fast and adapts quickly across contexts. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
4,CAND_0000043,0.385669,0.391662,0.385669,0.4848,2.0625,8.25,8.3,"Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability contributes 60% of the attributable score weight, with behavioural intent accounting for the remaining 40%. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Balanced but moderate overall signal — recommended for secondary evaluation."
5,CAND_0000050,0.384606,0.454384,0.384606,0.3,3.3333333333333335,13.333333333333334,13.5,Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (56% / 44%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Extended role tenures signal depth over breadth — candidate likely possesses specialised institutional knowledge. Extended career timeline confirms multi-year professional exposure across the technical domain. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review.
6,CAND_0000039,0.383258,0.237231,0.383258,0.5217,1.9166666666666667,3.8333333333333335,3.9,"Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability contributes 71% of the attributable score weight, with behavioural intent accounting for the remaining 29%. Platform engagement metrics are minimal; ranking relies more heavily on the semantic capability signal. High velocity metric confirms rapid role advancement despite a compact career timeline. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
7,CAND_0000018,0.369926,0.359807,0.369926,0.4615,2.1666666666666665,6.5,6.6,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability contributes 61% of the attributable score weight, with behavioural intent accounting for the remaining 39%. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. High velocity metric confirms rapid role advancement despite a compact career timeline. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
8,CAND_0000021,0.369688,0.446453,0.369688,0.4186,2.388888888888889,14.333333333333334,14.5,Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (55% / 45%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. High velocity metric confirms rapid role advancement despite a compact career timeline. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Balanced but moderate overall signal — recommended for secondary evaluation.
9,CAND_0000010,0.369325,0.474777,0.369325,0.2182,4.583333333333333,4.583333333333333,4.6,"Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (54% / 46%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
10,CAND_0000047,0.362765,0.357978,0.362765,0.4286,2.3333333333333335,2.3333333333333335,2.4,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability contributes 60% of the attributable score weight, with behavioural intent accounting for the remaining 40%. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
11,CAND_0000008,0.351008,0.377168,0.351008,0.2791,3.5833333333333335,3.5833333333333335,3.6,"Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability contributes 58% of the attributable score weight, with behavioural intent accounting for the remaining 42%. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Low velocity reflects stability-focused career development rather than frequent role-hopping. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review."
12,CAND_0000025,0.350069,0.504768,0.350069,0.4138,2.4166666666666665,7.25,7.3,Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (51% / 49%) to the attributable score weight. Behavioural metrics reflect strong active presence on the platform. Career velocity is elevated — role transitions indicate rapid upward progression. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised.
13,CAND_0000014,0.34956,0.453074,0.34956,0.36,2.777777777777778,8.333333333333334,8.4,Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (54% / 46%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Extended role tenures signal depth over breadth — candidate likely possesses specialised institutional knowledge. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised.
14,CAND_0000031,0.34914,0.574422,0.34914,0.6857,1.4583333333333333,5.833333333333333,6.0,Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (48% / 52%) to the attributable score weight. High intent activation confirms regular submission activity and profile investment. High velocity metric confirms rapid role advancement despite a compact career timeline. Average role tenure is compact — candidate moves fast and adapts quickly across contexts. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review.
15,CAND_0000027,0.348485,0.378979,0.348485,0.5217,1.9166666666666667,3.8333333333333335,3.9,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability contributes 58% of the attributable score weight, with behavioural intent accounting for the remaining 42%. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
16,CAND_0000042,0.340602,0.401799,0.340602,0.6102,1.638888888888889,4.916666666666667,5.0,Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (56% / 44%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Career velocity is elevated — role transitions indicate rapid upward progression. Balanced but moderate overall signal — recommended for secondary evaluation.
17,CAND_0000017,0.33614,0.379382,0.33614,0.3288,3.0416666666666665,12.166666666666666,12.3,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (57% / 43%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Extended career timeline confirms multi-year professional exposure across the technical domain. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
18,CAND_0000046,0.330015,0.472698,0.330015,0.3871,2.5833333333333335,7.75,7.8,"Experience narrative overlaps with core elements of the job description at a moderate confidence level. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (51% / 49%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Balanced but moderate overall signal — recommended for secondary evaluation."
19,CAND_0000011,0.324938,0.390659,0.324938,1.0435,0.9583333333333334,1.9166666666666667,2.0,Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (56% / 44%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Career velocity is elevated — role transitions indicate rapid upward progression. Average role tenure is compact — candidate moves fast and adapts quickly across contexts. Balanced but moderate overall signal — recommended for secondary evaluation.
20,CAND_0000002,0.318044,0.496044,0.318044,0.3221,3.1041666666666665,12.416666666666666,12.5,"Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (49% / 51%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Career trajectory shows deliberate, steady tenure — indicative of deep domain expertise accumulation. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Balanced but moderate overall signal — recommended for secondary evaluation."
21,CAND_0000033,0.317908,0.488188,0.317908,0.3529,2.8333333333333335,8.5,8.6,Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (49% / 51%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. Low velocity reflects stability-focused career development rather than frequent role-hopping. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review.
22,CAND_0000045,0.316159,0.48552,0.316159,0.5874,1.7023809523809523,11.916666666666666,12.2,Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (49% / 51%) to the attributable score weight. Platform signals suggest a moderate engagement pattern across interaction and submission dimensions. High velocity metric confirms rapid role advancement despite a compact career timeline. Total career duration is substantial — candidate brings a significant depth of accumulated experience. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised.
23,CAND_0000006,0.314051,0.327981,0.314051,0.338,2.9583333333333335,5.916666666666667,6.0,"Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability contributes 59% of the attributable score weight, with behavioural intent accounting for the remaining 41%. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Low velocity reflects stability-focused career development rather than frequent role-hopping. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
24,CAND_0000038,0.307741,0.386143,0.307741,0.4557,2.194444444444444,6.583333333333333,6.7,Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (54% / 46%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. Career velocity is elevated — role transitions indicate rapid upward progression. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review.
25,CAND_0000015,0.298493,0.477973,0.298493,0.5625,1.7777777777777777,5.333333333333333,5.4,Partial capability match identified; candidate demonstrates relevant but not exhaustive technical coverage. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (48% / 52%) to the attributable score weight. Behavioural engagement is at a moderate level — candidate demonstrates intermittent platform activity. High velocity metric confirms rapid role advancement despite a compact career timeline. Aggregate alignment score is mid-tier; candidate may be suitable with additional context review.
26,CAND_0000022,0.297617,0.401189,0.297617,0.9231,1.0833333333333333,1.0833333333333333,1.1,"Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (53% / 47%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Short mean tenure indicates high adaptability and willingness to take on new challenges rapidly. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
27,CAND_0000023,0.296381,0.354445,0.296381,0.5455,1.8333333333333333,3.6666666666666665,3.7,"Moderate semantic alignment with the role — candidate covers a meaningful subset of the required skill space. Signal decomposition: semantic capability and behavioural intent contribute approximately equally (56% / 44%) to the attributable score weight. Intent metrics indicate periodic engagement; activity cadence is consistent but not intensive. Promotion cadence exceeds the cohort average, signalling accelerated career momentum. Moderate composite score — candidate is a viable option; manual review of supporting profile is advised."
